category,qid,name,question,answer,model_output_norm,correct
Collide,0,pilot_it2_collision_assorted_targets_box_0000,Will the red torus touch the yellow mat?,no,no,1
Collide,1,pilot_it2_collision_assorted_targets_box_0001,Will the red pyramid touch the yellow mat?,no,no,1
Collide,2,pilot_it2_collision_assorted_targets_box_0002,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,3,pilot_it2_collision_assorted_targets_box_0003,Will the red cone touch the yellow mat?,no,no,1
Collide,4,pilot_it2_collision_assorted_targets_box_0004,Will the red cone touch the yellow mat?,no,no,1
Collide,5,pilot_it2_collision_assorted_targets_box_0005,Will the red cone touch the yellow mat?,yes,no,0
Collide,6,pilot_it2_collision_assorted_targets_box_0006,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,7,pilot_it2_collision_assorted_targets_box_0007,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,8,pilot_it2_collision_assorted_targets_box_0008,Will the red pyramid touch the yellow mat?,no,no,1
Collide,9,pilot_it2_collision_assorted_targets_box_0009,Will the red pyramid touch the yellow mat?,no,no,1
Collide,10,pilot_it2_collision_assorted_targets_box_0010,Will the red torus touch the yellow mat?,yes,yes,1
Collide,11,pilot_it2_collision_assorted_targets_box_0011,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,12,pilot_it2_collision_assorted_targets_box_0012,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,13,pilot_it2_collision_assorted_targets_box_0013,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,14,pilot_it2_collision_assorted_targets_box_0014,Will the red torus touch the yellow mat?,no,no,1
Collide,15,pilot_it2_collision_assorted_targets_box_0015,Will the red torus touch the yellow mat?,no,yes,0
Collide,16,pilot_it2_collision_assorted_targets_box_0016,Will the red torus touch the yellow mat?,no,no,1
Collide,17,pilot_it2_collision_assorted_targets_box_0017,Will the red triangular prism touch the yellow mat?,no,no,1
Collide,18,pilot_it2_collision_assorted_targets_box_0018,Will the red cone touch the yellow mat?,no,yes,0
Collide,19,pilot_it2_collision_assorted_targets_box_0019,Will the red cone touch the yellow mat?,no,no,1
Collide,20,pilot_it2_collision_assorted_targets_box_0020,Will the red torus touch the yellow mat?,yes,yes,1
Collide,21,pilot_it2_collision_assorted_targets_box_0021,Will the red pyramid touch the yellow mat?,yes,no,0
Collide,22,pilot_it2_collision_assorted_targets_box_0022,Will the red torus touch the yellow mat?,no,no,1
Collide,23,pilot_it2_collision_assorted_targets_box_0023,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,24,pilot_it2_collision_assorted_targets_box_0024,Will the red torus touch the yellow mat?,yes,no,0
Collide,25,pilot_it2_collision_assorted_targets_box_0025,Will the red torus touch the yellow mat?,yes,yes,1
Collide,26,pilot_it2_collision_assorted_targets_box_0026,Will the red pyramid touch the yellow mat?,no,no,1
Collide,27,pilot_it2_collision_assorted_targets_box_0027,Will the red torus touch the yellow mat?,yes,yes,1
Collide,28,pilot_it2_collision_assorted_targets_box_0028,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,29,pilot_it2_collision_assorted_targets_box_0029,Will the red torus touch the yellow mat?,no,no,1
Collide,30,pilot_it2_collision_assorted_targets_box_0030,Will the red pyramid touch the yellow mat?,no,no,1
Collide,31,pilot_it2_collision_assorted_targets_box_0031,Will the red torus touch the yellow mat?,yes,yes,1
Collide,32,pilot_it2_collision_assorted_targets_box_0032,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,33,pilot_it2_collision_assorted_targets_box_0033,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,34,pilot_it2_collision_assorted_targets_box_0034,Will the red dumbbell touch the yellow mat?,yes,no,0
Collide,35,pilot_it2_collision_assorted_targets_box_0035,Will the red torus touch the yellow mat?,no,no,1
Collide,36,pilot_it2_collision_assorted_targets_box_0036,Will the red dumbbell touch the yellow mat?,yes,yes,1
Collide,37,pilot_it2_collision_assorted_targets_box_0037,Will the red cone touch the yellow mat?,no,no,1
Collide,38,pilot_it2_collision_assorted_targets_box_0038,Will the red pyramid touch the yellow mat?,no,no,1
Collide,39,pilot_it2_collision_assorted_targets_box_0039,Will the red cone touch the yellow mat?,no,no,1
Collide,40,pilot_it2_collision_assorted_targets_box_0040,Will the red cone touch the yellow mat?,yes,yes,1
Collide,41,pilot_it2_collision_assorted_targets_box_0041,Will the red cone touch the yellow mat?,no,yes,0
Collide,42,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0000,Will the red torus touch the yellow mat?,no,yes,0
Collide,43,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0001,Will the red pyramid touch the yellow mat?,no,yes,0
Collide,44,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0002,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,45,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0003,Will the red cone touch the yellow mat?,no,no,1
Collide,46,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0004,Will the red cone touch the yellow mat?,no,no,1
Collide,47,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0005,Will the red cone touch the yellow mat?,yes,no,0
Collide,48,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0006,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,49,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0007,Will the red pyramid touch the yellow mat?,yes,yes,1
Collide,50,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0008,Will the red pyramid touch the yellow mat?,no,no,1
Collide,51,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0009,Will the red pyramid touch the yellow mat?,no,no,1
Collide,52,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0010,Will the red torus touch the yellow mat?,yes,yes,1
Collide,53,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0011,Will the red triangular prism touch the yellow mat?,yes,yes,1
Collide,54,pilot_it2_collision_assorted_targets_box_1_dis_1_occ_0012,Will the red pyramid touch the yellow mat?,yes,yes,1
