round,category,subset,N,mean_hardness,median_hardness,pct_hard(>=0.5)
base,Dominoes,past,562,0.3375668133273714,0.0707388475131492,33.985765124555165
finetuned,Dominoes,past,562,0.11023764070261105,0.0154405087048603,7.6512455516014235
base,Dominoes,pred,562,0.44365306878507627,0.18959809737054711,44.128113879003564
finetuned,Dominoes,pred,562,0.28518802693212314,0.05540719459771025,26.690391459074732
base,Contain,past,426,0.4209147866954922,0.215601520119574,42.25352112676056
finetuned,Contain,past,426,0.17475992087687828,0.02642484538309595,14.319248826291082
base,Contain,pred,426,0.3601246296059662,0.13172933860172045,35.44600938967136
finetuned,Contain,pred,426,0.18831520515178413,0.0327583008264702,15.727699530516432
base,Drop,past,550,0.43440677384957677,0.31469160702099447,42.54545454545455
finetuned,Drop,past,550,0.28527431234367967,0.06555269982213155,27.090909090909093
base,Drop,pred,550,0.5637145592254322,0.711662883203657,57.45454545454546
finetuned,Drop,pred,550,0.4691861600763833,0.39631421506996006,46.36363636363636
