row_idx,qid,ground_truth,model_output_norm,correct,p_correct,hardness,weight
0,row0,yes,yes,1,0.5074113907845582,0.4925886092154418,1.9851772184308836
1,1,yes,yes,1,0.9999982038022819,1.7961977181180089e-06,1.0000035923954362
2,2,yes,no,0,0.9911589650583724,0.008841034941627579,1.0176820698832552
3,3,no,yes,0,0.9756241328791999,0.024375867120800088,1.0487517342416002
4,4,no,yes,0,0.002885433733288694,0.9971145662667114,2.9942291325334227
5,5,yes,yes,1,0.9998582145510178,0.00014178544898224565,1.0002835708979645
6,6,no,yes,0,0.0009343816095262808,0.9990656183904737,2.9981312367809476
7,7,yes,yes,1,0.969481595493823,0.030518404506177044,1.061036809012354
8,8,no,yes,0,0.43738079454324014,0.5626192054567598,2.1252384109135196
9,9,yes,yes,1,0.798742107268249,0.201257892731751,1.402515785463502
10,10,no,yes,0,0.9847119280136869,0.015288071986313101,1.0305761439726262
11,11,yes,yes,1,0.32757531197567946,0.6724246880243205,2.344849376048641
12,12,no,yes,0,4.8052585821149755e-05,0.9999519474141788,2.999903894828358
13,13,yes,no,0,0.8602247358948277,0.13977526410517227,1.2795505282103445
14,14,no,yes,0,0.001235493319770541,0.9987645066802294,2.9975290133604586
15,15,yes,yes,1,0.013460764792834019,0.986539235207166,2.973078470414332
16,16,no,yes,0,0.9251134856113306,0.07488651438866945,1.149773028777339
17,17,no,yes,0,7.184559698574846e-05,0.9999281544030143,2.9998563088060286
18,18,no,yes,0,0.03625396716133922,0.9637460328386608,2.9274920656773213
19,19,no,no,1,0.9977824028534984,0.0022175971465016042,1.0044351942930032
20,20,no,yes,0,3.832609148999559e-06,0.999996167390851,2.9999923347817017
21,21,no,yes,0,0.9156595922099412,0.0843404077900588,1.1686808155801176
22,22,yes,yes,1,0.9965065018149196,0.0034934981850803792,1.0069869963701608
23,23,no,yes,0,0.5639025621328979,0.4360974378671021,1.8721948757342042
24,24,no,yes,0,0.002080126435384411,0.9979198735646155,2.995839747129231
25,25,no,yes,0,0.9999613460890819,3.8653910918062806e-05,1.0000773078218361
26,26,yes,no,0,5.562483603627343e-06,0.9999944375163964,2.999988875032793
27,27,no,yes,0,0.07283377507685876,0.9271662249231413,2.8543324498462823
28,28,yes,yes,1,0.9998180122286051,0.00018198777139488698,1.0003639755427898
29,29,yes,yes,1,0.9992491792976669,0.0007508207023331215,1.0015016414046662
30,30,no,yes,0,8.957439443079833e-06,0.9999910425605569,2.999982085121114
31,31,yes,yes,1,0.985226430171281,0.014773569828719024,1.029547139657438
32,32,yes,yes,1,0.0006126105678600434,0.99938738943214,2.99877477886428
33,33,yes,yes,1,0.6127697025850999,0.3872302974149001,1.7744605948298002
34,34,no,no,1,0.1306742262233784,0.8693257737766216,2.738651547553243
35,35,yes,yes,1,0.5520001430775768,0.44799985692242317,1.8959997138448463
36,36,no,yes,0,3.244508923548059e-05,0.9999675549107645,2.999935109821529
37,37,yes,yes,1,0.9986060623229465,0.001393937677053536,1.002787875354107
38,38,no,yes,0,0.0076446334461057405,0.9923553665538942,2.9847107331077884
39,39,no,yes,0,0.005046830321904178,0.9949531696780958,2.9899063393561915
40,40,no,yes,0,1.7704797786809162e-06,0.9999982295202213,2.9999964590404424
41,41,no,yes,0,0.8962485718304444,0.10375142816955563,1.2075028563391113
42,42,no,yes,0,0.020351633627422046,0.9796483663725779,2.959296732745156
43,43,yes,yes,1,0.998192861952572,0.0018071380474280474,1.003614276094856
44,44,yes,yes,1,0.8877336107091595,0.11226638929084054,1.224532778581681
45,45,no,yes,0,3.115671637919948e-06,0.9999968843283621,2.999993768656724
46,46,yes,no,0,0.8528489495422413,0.14715105045775867,1.2943021009155173
47,47,no,yes,0,0.008522795203687013,0.991477204796313,2.982954409592626
48,48,no,yes,0,0.9883093464875012,0.011690653512498761,1.0233813070249975
49,49,no,yes,0,0.011524744721455704,0.9884752552785443,2.9769505105570886
50,50,no,yes,0,0.4008240205511594,0.5991759794488406,2.198351958897681
51,51,yes,yes,1,0.9999906133477975,9.386652202514334e-06,1.000018773304405
52,52,yes,yes,1,0.9665802929032032,0.03341970709679676,1.0668394141935935
53,53,no,yes,0,0.16720003380481738,0.8327999661951826,2.665599932390365
54,54,yes,yes,1,0.12240634507903717,0.8775936549209629,2.7551873098419257
55,55,no,no,1,0.9386308375995354,0.06136916240046464,1.1227383248009293
56,56,yes,yes,1,0.11012185957394197,0.8898781404260581,2.779756280852116
57,57,no,no,1,0.9235440121353996,0.0764559878646004,1.1529119757292008
58,58,no,yes,0,0.001109269034723139,0.9988907309652768,2.9977814619305536
59,59,no,yes,0,0.0006669550716131941,0.9993330449283868,2.9986660898567736
60,60,no,yes,0,0.9971504996432582,0.0028495003567418076,1.0056990007134836
61,61,no,yes,0,0.9743915007490458,0.02560849925095421,1.0512169985019084
62,62,yes,yes,1,0.9994364644526001,0.0005635355473998516,1.0011270710947997
63,63,no,yes,0,0.9677993312806376,0.032200668719362446,1.064401337438725
