row_idx,qid,ground_truth,model_output_norm,correct,p_correct,hardness,weight
0,row0,no,no,1,0.9217263170203933,0.07827368297960668,1.1565473659592134
1,1,yes,yes,1,0.5048459938830471,0.4951540061169529,1.9903080122339059
2,2,no,no,1,0.8815682072762305,0.11843179272376947,1.236863585447539
3,3,yes,no,0,0.992316232279749,0.0076837677202510335,1.015367535440502
4,4,yes,no,0,0.594746923327392,0.405253076672608,1.810506153345216
5,5,yes,yes,1,0.04755945641958006,0.95244054358042,2.90488108716084
6,6,no,no,1,0.5118846947497583,0.4881153052502417,1.9762306105004834
7,7,no,yes,0,0.9917617783129111,0.008238221687088876,1.0164764433741778
8,8,yes,yes,1,0.9998291122391129,0.00017088776088713953,1.0003417755217743
9,9,no,no,1,0.6144491747168944,0.3855508252831056,1.7711016505662112
10,10,no,no,1,0.010244515262097477,0.9897554847379025,2.979510969475805
11,11,yes,yes,1,0.9647938663315024,0.03520613366849756,1.0704122673369951
12,12,no,no,1,0.7327127220425448,0.2672872779574552,1.5345745559149104
13,13,yes,yes,1,0.039551738001436826,0.9604482619985631,2.9208965239971265
14,14,yes,yes,1,0.6827278480461797,0.3172721519538203,1.6345443039076406
15,15,no,yes,0,0.8910117095248812,0.10898829047511882,1.2179765809502376
16,16,no,no,1,0.997936371423685,0.0020636285763150353,1.00412725715263
17,17,yes,no,0,0.9999816306373428,1.8369362657200128e-05,1.0000367387253144
18,18,no,no,1,0.9984049594921641,0.0015950405078358765,1.0031900810156718
19,19,yes,yes,1,0.9760654300041928,0.02393456999580723,1.0478691399916145
20,20,no,no,1,0.804344369724806,0.19565563027519395,1.391311260550388
21,21,no,no,1,0.4970785404384325,0.5029214595615674,2.005842919123135
22,22,yes,yes,1,0.9999334656918413,6.653430815872774e-05,1.0001330686163175
23,23,yes,yes,1,0.9665514336350519,0.033448566364948085,1.0668971327298962
24,24,no,no,1,0.9997360243545766,0.0002639756454233533,1.0005279512908467
25,25,no,no,1,0.9999347864808051,6.521351919486218e-05,1.0001304270383897
26,26,no,no,1,0.9999096124341769,9.038756582313567e-05,1.0001807751316463
27,27,yes,yes,1,0.9407408582596812,0.059259141740318766,1.1185182834806375
28,28,no,no,1,0.946047207511167,0.053952792488833,1.107905584977666
29,29,no,no,1,0.9984738885280882,0.0015261114719118396,1.0030522229438237
30,30,no,no,1,0.6841744971868462,0.3158255028131538,1.6316510056263076
31,31,no,yes,0,0.05477501931770553,0.9452249806822944,2.890449961364589
32,32,no,yes,0,0.9053883639057099,0.09461163609429013,1.1892232721885803
33,33,yes,yes,1,0.9993904017030865,0.0006095982969135383,1.001219196593827
34,34,yes,yes,1,0.34505040981655516,0.6549495901834448,2.3098991803668896
35,35,yes,yes,1,0.2533456936341553,0.7466543063658446,2.4933086127316892
36,36,yes,yes,1,0.5739001088173479,0.4260998911826521,1.8521997823653042
37,37,no,no,1,0.9999428404248217,5.71595751782672e-05,1.0001143191503565
38,38,no,no,1,0.998024146855165,0.0019758531448349492,1.00395170628967
39,39,no,no,1,0.9698073087725518,0.030192691227448165,1.0603853824548963
40,40,no,no,1,0.997388891037929,0.0026111089620709516,1.005222217924142
41,41,yes,yes,1,0.9997227119051103,0.00027728809488969386,1.0005545761897794
42,42,yes,yes,1,0.9800335466415284,0.01996645335847158,1.0399329067169432
43,43,yes,no,0,0.007462636299876245,0.9925373637001238,2.9850747274002476
44,44,yes,yes,1,0.1222719556867375,0.8777280443132625,2.755456088626525
45,45,no,no,1,0.11616950048713268,0.8838304995128673,2.7676609990257344
46,46,yes,yes,1,0.9980148795955907,0.0019851204044093462,1.0039702408088187
47,47,yes,yes,1,0.7204055722667477,0.27959442773325227,1.5591888554665045
48,48,no,no,1,0.9999738521181661,2.6147881833860076e-05,1.0000522957636677
49,49,no,no,1,0.9948482390321813,0.005151760967818664,1.0103035219356373
50,50,yes,yes,1,0.9972748561716502,0.002725143828349763,1.0054502876566995
51,51,yes,yes,1,0.8066205700745057,0.19337942992549428,1.3867588598509886
52,52,yes,yes,1,0.8268355087178796,0.17316449128212041,1.3463289825642408
53,53,no,no,1,0.9999467938784842,5.3206121515825266e-05,1.0001064122430317
54,54,no,no,1,0.9999990846296153,9.153703847131212e-07,1.0000018307407694
55,55,no,yes,0,0.9999991065451512,8.934548487715688e-07,1.0000017869096975
56,56,no,no,1,0.8611776225661507,0.1388223774338493,1.2776447548676986
57,57,no,no,1,0.9984523425056157,0.0015476574943843469,1.0030953149887687
58,58,no,yes,0,0.9750526043539841,0.02494739564601589,1.0498947912920318
59,59,yes,yes,1,0.9954941106758982,0.004505889324101786,1.0090117786482036
60,60,no,yes,0,0.9812644950324938,0.0187355049675062,1.0374710099350124
61,61,yes,yes,1,0.9831657556363333,0.01683424436366665,1.0336684887273333
62,62,no,yes,0,0.9878469228710642,0.012153077128935763,1.0243061542578715
63,63,no,no,1,0.12458502548396455,0.8754149745160354,2.750829949032071
64,64,yes,yes,1,0.21426695209174348,0.7857330479082565,2.571466095816513
65,65,no,no,1,0.9856852758648416,0.014314724135158441,1.0286294482703169
66,66,no,no,1,0.9992304137582827,0.0007695862417173016,1.0015391724834346
67,67,yes,yes,1,0.07415264188342864,0.9258473581165714,2.8516947162331427
68,68,no,no,1,0.9994901735516906,0.0005098264483094361,1.0010196528966189
69,69,no,no,1,0.9998533209013628,0.00014667909863719242,1.0002933581972744
70,70,yes,yes,1,0.999692719001844,0.00030728099815602317,1.000614561996312
71,71,yes,no,0,0.5260155253601688,0.4739844746398312,1.9479689492796624
72,72,no,yes,0,0.9999627945872533,3.720541274665479e-05,1.0000744108254933
73,73,yes,yes,1,0.5042865704811222,0.49571342951887776,1.9914268590377555
74,74,no,no,1,0.9999578787417607,4.212125823932489e-05,1.0000842425164786
75,75,yes,no,0,0.9952164858673914,0.0047835141326085795,1.0095670282652172
76,76,no,no,1,0.8509282896640856,0.14907171033591438,1.2981434206718288
77,77,no,no,1,0.9999999091744374,9.082556262640651e-08,1.0000001816511253
78,78,yes,yes,1,0.00228464434648606,0.997715355653514,2.995430711307028
79,79,no,no,1,0.07965331550193559,0.9203466844980644,2.8406933689961287
80,80,no,no,1,0.9500061478435405,0.04999385215645946,1.099987704312919
81,81,yes,yes,1,0.9911867361777428,0.008813263822257222,1.0176265276445144
82,82,yes,yes,1,0.9999917755089813,8.224491018671287e-06,1.0000164489820373
83,83,no,no,1,0.960728683299663,0.03927131670033701,1.078542633400674
84,84,no,no,1,0.4063043875258144,0.5936956124741857,2.1873912249483713
85,85,yes,yes,1,0.999846425534334,0.00015357446566599542,1.000307148931332
86,86,yes,yes,1,0.9995706948316263,0.0004293051683736948,1.0008586103367474
87,87,no,no,1,0.9873438687785253,0.012656131221474687,1.0253122624429494
88,88,no,no,1,0.9587162568935585,0.04128374310644145,1.082567486212883
89,89,no,no,1,0.9985096091768664,0.001490390823133625,1.0029807816462672
90,90,no,no,1,0.9878476866768282,0.012152313323171793,1.0243046266463436
91,91,yes,yes,1,0.9798419063675653,0.020158093632434704,1.0403161872648694
92,92,no,no,1,0.1066518430008559,0.8933481569991442,2.7866963139982883
93,93,yes,yes,1,0.1686055175808243,0.8313944824191757,2.6627889648383514
94,94,no,no,1,0.9942569071394387,0.005743092860561294,1.0114861857211226
95,95,yes,yes,1,0.4236762785306099,0.5763237214693901,2.1526474429387803
96,96,no,no,1,0.6702059641013467,0.3297940358986533,1.6595880717973066
97,97,no,yes,0,0.9481862706182672,0.05181372938173279,1.1036274587634656
98,98,yes,yes,1,0.9469965728633731,0.05300342713662687,1.1060068542732537
99,99,no,no,1,0.999968203662355,3.179633764505141e-05,1.00006359267529
100,100,no,no,1,0.07843626640676987,0.9215637335932301,2.84312746718646
101,101,no,no,1,0.9998835877909331,0.0001164122090668851,1.0002328244181338
102,102,no,no,1,0.9817853289903211,0.018214671009678884,1.0364293420193578
103,103,yes,yes,1,0.8644309902918954,0.1355690097081046,1.2711380194162092
104,104,yes,no,0,0.061847543675379694,0.9381524563246203,2.876304912649241
105,105,yes,yes,1,0.2580342665556317,0.7419657334443683,2.4839314668887367
106,106,no,no,1,0.9999174749939528,8.252500604721824e-05,1.0001650500120944
107,107,no,no,1,0.9996756445649317,0.0003243554350682576,1.0006487108701365
108,108,yes,no,0,0.0013052280807458651,0.9986947719192542,2.9973895438385085
109,109,no,no,1,0.9403496159493463,0.059650384050653704,1.1193007681013074
