row_idx,qid,ground_truth,model_output_norm,correct,p_correct,hardness,weight
0,0,yes,yes,1,0.7099227769531665,0.2900772230468335,1.580154446093667
1,1,yes,yes,1,0.9917656599333174,0.008234340066682555,1.016468680133365
2,2,yes,yes,1,0.9381827651758259,0.061817234824174117,1.1236344696483482
3,3,no,yes,0,0.990043121848443,0.009956878151556992,1.019913756303114
4,4,no,no,1,0.9794806664210097,0.020519333578990273,1.0410386671579805
5,5,yes,yes,1,0.6072829230584686,0.39271707694153135,1.7854341538830627
6,6,no,no,1,0.9982832030464505,0.0017167969535495375,1.003433593907099
7,7,yes,yes,1,0.998245297828816,0.0017547021711840083,1.003509404342368
8,8,no,yes,0,0.9984625592048465,0.0015374407951534996,1.003074881590307
9,9,yes,yes,1,0.29141601793513716,0.7085839820648628,2.4171679641297255
10,10,no,yes,0,0.06138251603428941,0.9386174839657105,2.877234967931421
11,11,yes,yes,1,0.7155866071110109,0.28441339288898915,1.5688267857779783
12,12,no,no,1,0.10329637260462943,0.8967036273953706,2.793407254790741
13,13,yes,yes,1,0.8497623471116114,0.15023765288838864,1.3004753057767773
14,14,no,no,1,0.005427557208318479,0.9945724427916816,2.989144885583363
15,15,yes,yes,1,0.9595512405280242,0.04044875947197579,1.0808975189439516
16,16,no,yes,0,0.9819432252958207,0.018056774704179324,1.0361135494083586
17,17,no,yes,0,0.9843652159602041,0.0156347840397959,1.0312695680795918
18,18,no,no,1,0.1457073718658918,0.8542926281341082,2.7085852562682167
19,19,no,no,1,0.7283015586616456,0.2716984413383544,1.5433968826767088
20,20,no,no,1,0.2872066428398267,0.7127933571601732,2.4255867143203464
21,21,no,yes,0,0.22721885375161877,0.7727811462483812,2.5455622924967622
22,22,yes,yes,1,0.9084050253226795,0.09159497467732047,1.183189949354641
23,23,no,no,1,0.4399403435963681,0.560059656403632,2.120119312807264
24,24,no,no,1,0.001074853282312244,0.9989251467176877,2.9978502934353752
25,25,no,yes,0,0.5535738169019816,0.4464261830980184,1.8928523661960368
26,26,yes,yes,1,0.0014986070426052684,0.9985013929573947,2.9970027859147894
27,27,no,no,1,0.34978235132181024,0.6502176486781898,2.3004352973563797
28,28,yes,yes,1,0.9341427271568566,0.06585727284314336,1.1317145456862867
29,29,yes,yes,1,0.9999805301324406,1.9469867559407383e-05,1.0000389397351188
30,30,no,no,1,0.9249419120300245,0.07505808796997548,1.150116175939951
31,31,yes,yes,1,0.4546837880627552,0.5453162119372448,2.0906324238744896
32,32,yes,yes,1,0.5719722835225995,0.42802771647740046,1.856055432954801
33,33,yes,yes,1,0.9615236450894963,0.03847635491050372,1.0769527098210074
34,34,no,no,1,0.9985533340135662,0.0014466659864338371,1.0028933319728677
35,35,yes,yes,1,0.9999696913587897,3.030864121034149e-05,1.0000606172824207
36,36,no,yes,0,0.72640630037398,0.27359369962602,1.54718739925204
37,37,yes,yes,1,0.9977891494648772,0.0022108505351228214,1.0044217010702456
38,38,no,no,1,0.9357529457592544,0.06424705424074562,1.1284941084814912
39,39,no,no,1,0.875663790438776,0.12433620956122404,1.248672419122448
40,40,no,no,1,0.21645792782809434,0.7835420721719056,2.567084144343811
41,41,no,yes,0,0.09974318950148506,0.9002568104985149,2.80051362099703
42,42,no,no,1,0.9985423354411648,0.0014576645588352255,1.0029153291176705
43,43,yes,yes,1,0.8898028723414366,0.11019712765856338,1.2203942553171268
44,44,yes,yes,1,0.9748716515230077,0.0251283484769923,1.0502566969539846
45,45,no,no,1,0.840071682712992,0.15992831728700796,1.319856634574016
46,46,yes,yes,1,0.00012662244389632154,0.9998733775561037,2.9997467551122075
47,47,no,no,1,0.9180670787498837,0.08193292125011631,1.1638658425002326
48,48,no,no,1,0.9955523137544473,0.0044476862455526955,1.0088953724911054
49,49,no,yes,0,0.09600238713568385,0.9039976128643161,2.8079952257286322
50,50,no,no,1,0.9998653985400319,0.0001346014599681311,1.0002692029199363
51,51,yes,yes,1,0.9903670916786941,0.009632908321305922,1.0192658166426118
52,52,yes,yes,1,0.9998805772929218,0.00011942270707820946,1.0002388454141564
53,53,no,no,1,0.6853009538460281,0.31469904615397193,1.6293980923079439
54,54,yes,yes,1,0.999887741770932,0.00011225822906801852,1.000224516458136
55,55,no,no,1,0.7171011522322611,0.2828988477677389,1.5657976955354778
56,56,yes,yes,1,0.9933517195013919,0.006648280498608106,1.0132965609972162
57,57,no,yes,0,0.8301025277819142,0.16989747221808582,1.3397949444361716
58,58,no,no,1,0.8855827571901318,0.1144172428098682,1.2288344856197364
59,59,no,no,1,0.9941769923875726,0.005823007612427378,1.0116460152248548
60,60,no,yes,0,0.6706693804915864,0.3293306195084136,1.6586612390168272
61,61,no,no,1,0.9790161415242365,0.02098385847576345,1.041967716951527
62,62,yes,no,0,0.6678484846326899,0.33215151536731014,1.6643030307346203
63,63,no,no,1,0.5433716934967565,0.4566283065032435,1.913256613006487
64,64,no,yes,0,0.6413512510164638,0.35864874898353616,1.7172974979670723
65,65,yes,yes,1,0.0006853883656400527,0.99931461163436,2.99862922326872
66,66,yes,yes,1,0.6698299152512324,0.33017008474876763,1.6603401694975353
67,67,no,no,1,0.9995693267723361,0.0004306732276638803,1.0008613464553278
68,68,yes,yes,1,0.12561992381264095,0.874380076187359,2.748760152374718
69,69,yes,yes,1,0.2515830955209909,0.7484169044790091,2.4968338089580184
70,70,yes,yes,1,0.9232690828354033,0.07673091716459668,1.1534618343291934
71,71,no,no,1,0.8488059681821379,0.15119403181786206,1.3023880636357241
72,72,no,no,1,0.32695249440074997,0.67304750559925,2.3460950111985
73,73,yes,yes,1,0.9779354448210065,0.022064555178993528,1.044129110357987
74,74,yes,yes,1,0.998596766830966,0.0014032331690340127,1.002806466338068
75,75,yes,yes,1,0.9114013240530862,0.08859867594691384,1.1771973518938277
76,76,yes,no,0,0.9999946007508309,5.399249169091291e-06,1.0000107984983382
77,77,yes,yes,1,0.3668611502545016,0.6331388497454984,2.2662776994909968
78,78,no,yes,0,0.9976218809445451,0.0023781190554549303,1.0047562381109099
79,79,no,no,1,0.9881380763123593,0.011861923687640719,1.0237238473752814
80,80,no,no,1,0.0085164799435773,0.9914835200564227,2.9829670401128454
81,81,yes,yes,1,0.9969450900885507,0.0030549099114492995,1.0061098198228986
82,82,yes,yes,1,0.9882014796568738,0.011798520343126229,1.0235970406862525
83,83,yes,yes,1,0.9237666403302495,0.07623335966975053,1.152466719339501
84,84,yes,yes,1,0.7603107810911456,0.23968921890885442,1.4793784378177088
85,85,yes,yes,1,0.9449509794787507,0.05504902052124927,1.1100980410424985
86,86,no,no,1,0.9999985563211492,1.4436788507987686e-06,1.0000028873577016
87,87,no,no,1,0.8863507092372634,0.11364929076273655,1.227298581525473
88,88,yes,yes,1,0.9794746733323877,0.02052532666761231,1.0410506533352246
89,89,no,yes,0,0.9789761959553246,0.02102380404467541,1.0420476080893508
90,90,no,yes,0,0.22641041952323393,0.7735895804767661,2.547179160953532
91,91,no,no,1,0.9986183241075998,0.001381675892400236,1.0027633517848005
92,92,yes,yes,1,0.27932537627464715,0.7206746237253528,2.441349247450706
93,93,yes,no,0,0.03238314827637225,0.9676168517236278,2.9352337034472553
94,94,yes,yes,1,0.7515000376864617,0.24849996231353833,1.4969999246270767
95,95,yes,yes,1,0.9220326918387802,0.07796730816121977,1.1559346163224395
96,96,yes,yes,1,0.11780107835040478,0.8821989216495952,2.7643978432991902
97,97,yes,yes,1,0.08356700157791395,0.916432998422086,2.832865996844172
98,98,no,yes,0,0.9916131166802812,0.008386883319718819,1.0167737666394376
99,99,yes,yes,1,0.9150003192645372,0.08499968073546282,1.1699993614709256
100,100,no,no,1,0.991766757903863,0.008233242096136961,1.016466484192274
101,101,no,yes,0,0.996345791994006,0.0036542080059940307,1.007308416011988
102,102,no,no,1,0.9973808880587781,0.0026191119412218855,1.0052382238824438
103,103,no,no,1,0.7965040440910282,0.20349595590897185,1.4069919118179437
104,104,yes,yes,1,0.8293870280293467,0.17061297197065328,1.3412259439413066
105,105,yes,no,0,0.9997992568822295,0.00020074311777051879,1.000401486235541
106,106,yes,yes,1,0.8892318212130317,0.11076817878696832,1.2215363575739366
107,107,yes,yes,1,0.3617646381001516,0.6382353618998484,2.276470723799697
108,108,yes,yes,1,0.42603193083419527,0.5739680691658047,2.1479361383316093
109,109,yes,yes,1,0.9995833454205133,0.00041665457948669715,1.0008333091589734
110,110,yes,no,0,0.11548553947478243,0.8845144605252175,2.769028921050435
111,111,yes,no,0,0.9924730032623643,0.007526996737635683,1.0150539934752714
112,112,yes,yes,1,0.96844972523271,0.03155027476729,1.06310054953458
113,113,yes,yes,1,0.9675573438141195,0.03244265618588049,1.064885312371761
114,114,yes,yes,1,0.9875692233086489,0.012430776691351064,1.0248615533827021
115,115,no,no,1,0.13589256033132988,0.8641074396686701,2.72821487933734
116,116,yes,yes,1,0.7262019742890782,0.2737980257109218,1.5475960514218436
117,117,no,no,1,0.9989557561650106,0.0010442438349893557,1.0020884876699787
118,118,no,yes,0,0.835545927118654,0.16445407288134595,1.328908145762692
119,119,no,yes,0,0.8600657305931051,0.1399342694068949,1.2798685388137898
120,120,yes,yes,1,0.7927076228127159,0.2072923771872841,1.4145847543745682
121,121,no,yes,0,0.8082253219244702,0.19177467807552984,1.3835493561510597
122,122,no,no,1,0.9853549518742549,0.014645048125745075,1.0292900962514901
123,123,no,yes,0,0.9985790717073166,0.0014209282926833655,1.0028418565853667
124,124,yes,yes,1,0.38167282836400945,0.6183271716359906,2.236654343271981
125,125,yes,yes,1,0.9273190599886095,0.07268094001139047,1.145361880022781
126,126,no,no,1,0.7105095621371972,0.2894904378628028,1.5789808757256056
127,127,no,no,1,0.7036247229493926,0.2963752770506074,1.5927505541012148
128,128,no,yes,0,0.9984756536516773,0.0015243463483226583,1.0030486926966453
129,129,yes,yes,1,0.9986044001183706,0.0013955998816294057,1.0027911997632588
130,130,yes,yes,1,0.9950164193350415,0.00498358066495852,1.009967161329917
131,131,no,yes,0,0.8317266994150461,0.16827330058495393,1.3365466011699079
132,132,no,yes,0,0.9839168718304331,0.016083128169566918,1.0321662563391338
133,133,yes,yes,1,0.9997910511199473,0.00020894888005273948,1.0004178977601055
134,134,no,no,1,0.8350037916956063,0.16499620830439365,1.3299924166087873
135,135,yes,yes,1,0.9988931378811972,0.0011068621188028427,1.0022137242376057
136,136,yes,yes,1,0.8516836685350995,0.14831633146490053,1.296632662929801
137,137,no,no,1,0.992804941218243,0.007195058781756969,1.014390117563514
138,138,yes,yes,1,0.03068503900279044,0.9693149609972096,2.938629921994419
139,139,no,no,1,0.9040956916067788,0.09590430839322117,1.1918086167864423
140,140,yes,yes,1,0.9999518706988345,4.81293011654893e-05,1.000096258602331
141,141,yes,yes,1,0.9597603248359491,0.040239675164050914,1.0804793503281018
142,142,no,no,1,0.9951003643195735,0.004899635680426506,1.009799271360853
143,143,yes,yes,1,0.9989330735066158,0.001066926493384246,1.0021338529867685
144,144,no,no,1,0.141730887598726,0.858269112401274,2.716538224802548
145,145,no,yes,0,0.7865178309895616,0.21348216901043837,1.4269643380208767
146,146,yes,yes,1,0.3385037888122195,0.6614962111877805,2.322992422375561
147,147,yes,yes,1,0.4990046632418402,0.5009953367581599,2.0019906735163198
148,148,no,no,1,0.9932304995405533,0.006769500459446687,1.0135390009188934
149,149,yes,yes,1,0.9622405483319735,0.03775945166802652,1.075518903336053
150,150,yes,yes,1,0.8952043680053585,0.10479563199464148,1.209591263989283
151,151,yes,yes,1,0.9879869810430714,0.012013018956928634,1.0240260379138573
152,152,yes,yes,1,0.9916064569142221,0.008393543085777888,1.0167870861715558
153,153,yes,yes,1,0.8679854878800229,0.13201451211997706,1.2640290242399541
154,154,yes,no,0,0.9962979582040332,0.0037020417959667817,1.0074040835919336
155,155,no,no,1,0.9790629624359324,0.020937037564067618,1.0418740751281352
156,156,yes,yes,1,0.994549204946387,0.005450795053613011,1.010901590107226
157,157,yes,yes,1,0.2786326675991309,0.7213673324008691,2.4427346648017383
158,158,yes,yes,1,0.9995725173915361,0.00042748260846392494,1.0008549652169278
159,159,no,yes,0,0.9936864247800713,0.006313575219928702,1.0126271504398574
160,160,yes,yes,1,0.9948120285780662,0.005187971421933835,1.0103759428438677
161,161,yes,yes,1,0.441670022572322,0.558329977427678,2.116659954855356
162,162,yes,yes,1,0.9979642285260686,0.0020357714739314137,1.0040715429478628
163,163,yes,yes,1,0.9936237300729698,0.00637626992703022,1.0127525398540604
164,164,yes,yes,1,0.4884343834397188,0.5115656165602812,2.023131233120562
165,165,no,yes,0,0.6208235306101525,0.3791764693898475,1.758352938779695
166,166,yes,yes,1,0.99817485110091,0.0018251488990900233,1.00365029779818
167,167,yes,no,0,0.9942846587529657,0.005715341247034322,1.0114306824940686
168,168,yes,yes,1,0.9892882749577302,0.010711725042269804,1.0214234500845396
169,169,yes,yes,1,0.9910602810537744,0.008939718946225583,1.0178794378924512
170,170,no,no,1,0.9830007601982227,0.01699923980177731,1.0339984796035546
171,171,yes,yes,1,0.9962647238825566,0.003735276117443398,1.0074705522348868
172,172,no,yes,0,0.7653625101988764,0.23463748980112364,1.4692749796022473
173,173,yes,yes,1,0.9897451621445812,0.010254837855418808,1.0205096757108376
174,174,yes,yes,1,0.9187098977247046,0.08129010227529543,1.1625802045505909
175,175,yes,yes,1,0.999783847642567,0.0002161523574329971,1.000432304714866
176,176,yes,yes,1,0.9320763678161564,0.06792363218384356,1.1358472643676871
177,177,no,yes,0,0.9917935611761409,0.008206438823859075,1.0164128776477181
178,178,yes,yes,1,0.9817558206118676,0.018244179388132387,1.0364883587762648
179,179,yes,yes,1,0.9998345473580273,0.00016545264197265208,1.0003309052839453
180,180,yes,yes,1,0.9987019200799886,0.001298079920011408,1.0025961598400228
181,181,no,no,1,0.9958353729298292,0.0041646270701708454,1.0083292541403417
182,182,yes,yes,1,0.9630139980556202,0.03698600194437984,1.0739720038887597
183,183,yes,yes,1,0.9799792474705087,0.020020752529491315,1.0400415050589826
184,184,no,yes,0,0.9934905655928931,0.00650943440710694,1.0130188688142139
185,185,no,no,1,0.723711699669875,0.27628830033012497,1.55257660066025
186,186,yes,yes,1,0.810593133474293,0.18940686652570704,1.378813733051414
187,187,yes,yes,1,0.9971048384867738,0.0028951615132262187,1.0057903230264524
188,188,yes,yes,1,0.9857999924114087,0.014200007588591301,1.0284000151771826
189,189,yes,yes,1,0.9798629170605541,0.02013708293944594,1.0402741658788919
190,190,yes,yes,1,0.03961094657290794,0.960389053427092,2.920778106854184
191,191,yes,yes,1,0.5946734576099756,0.4053265423900244,1.8106530847800488
