row_idx,qid,ground_truth,model_output_norm,correct,p_correct,hardness,weight
0,0,no,no,1,0.9747267292536755,0.02527327074632446,1.050546541492649
1,1,no,no,1,0.9999875179903983,1.248200960168866e-05,1.0000249640192034
2,2,no,yes,0,0.45955475182835953,0.5404452481716404,2.080890496343281
3,3,no,no,1,0.9932581363792975,0.006741863620702504,1.013483727241405
4,4,no,no,1,0.9994812830063659,0.0005187169936341496,1.0010374339872683
5,5,yes,yes,1,0.6227540765829941,0.3772459234170059,1.7544918468340118
6,6,no,no,1,0.9786743251265513,0.02132567487344872,1.0426513497468974
7,7,yes,yes,1,0.0047692455718948805,0.9952307544281052,2.9904615088562103
8,8,no,yes,0,0.5912366048399895,0.4087633951600105,1.817526790320021
9,9,yes,no,0,0.5353107174930926,0.46468928250690744,1.9293785650138149
10,10,yes,no,0,0.33296357154585865,0.6670364284541414,2.334072856908283
11,11,no,no,1,0.9986318540977256,0.0013681459022744091,1.0027362918045488
12,12,yes,yes,1,0.7986560539813312,0.20134394601866878,1.4026878920373376
13,13,yes,yes,1,0.4120779780532451,0.5879220219467549,2.17584404389351
14,14,no,no,1,0.9607973284188175,0.03920267158118251,1.078405343162365
15,15,no,no,1,0.6906797444083334,0.30932025559166665,1.6186405111833333
16,16,no,no,1,0.48349027697637825,0.5165097230236217,2.0330194460472435
17,17,yes,yes,1,0.9996155521929957,0.0003844478070043067,1.0007688956140086
18,18,no,yes,0,0.9930877576451049,0.006912242354895071,1.0138244847097901
19,19,yes,yes,1,0.9965290333432115,0.0034709666567884767,1.006941933313577
20,20,yes,no,0,0.2966608048893596,0.7033391951106405,2.406678390221281
21,21,no,no,1,0.9994630903328597,0.0005369096671402618,1.0010738193342805
22,22,yes,yes,1,0.9992429813388439,0.0007570186611560725,1.0015140373223121
23,23,no,no,1,0.9198893330435765,0.08011066695642355,1.160221333912847
24,24,no,no,1,0.9631034842151559,0.0368965157848441,1.0737930315696882
25,25,yes,yes,1,0.8240052381924852,0.17599476180751483,1.3519895236150297
