row_idx,correct,ground_truth,predicted
0,1,no,no
1,1,yes,yes
2,0,no,yes
3,1,yes,yes
4,1,yes,yes
5,1,yes,yes
6,0,no,yes
7,1,no,no
8,1,yes,yes
9,1,no,no
10,1,no,no
11,0,yes,no
12,1,no,no
13,1,yes,yes
14,1,yes,yes
15,1,no,no
16,1,no,no
17,1,yes,yes
18,1,no,no
19,1,yes,yes
20,1,no,no
21,1,no,no
22,1,yes,yes
23,1,yes,yes
24,1,no,no
25,1,no,no
26,1,no,no
27,1,yes,yes
28,1,no,no
29,1,no,no
30,1,no,no
31,1,no,no
32,1,no,no
33,1,yes,yes
34,1,yes,yes
35,1,yes,yes
36,1,yes,yes
37,0,no,yes
38,1,no,no
39,1,no,no
40,1,no,no
41,1,yes,yes
42,1,yes,yes
43,1,yes,yes
44,1,yes,yes
45,1,no,no
46,1,yes,yes
47,1,yes,yes
48,1,no,no
49,1,no,no
50,1,yes,yes
51,1,yes,yes
52,1,yes,yes
53,1,no,no
54,1,no,no
55,1,no,no
56,1,no,no
57,1,no,no
58,1,no,no
59,1,yes,yes
60,1,no,no
61,0,yes,no
62,1,no,no
63,1,no,no
64,1,yes,yes
65,1,no,no
66,1,no,no
67,1,yes,yes
68,1,no,no
69,1,no,no
70,1,yes,yes
71,1,yes,yes
72,1,no,no
73,1,yes,yes
74,1,no,no
75,1,yes,yes
76,1,no,no
77,0,no,yes
78,1,yes,yes
79,1,no,no
80,1,no,no
81,1,yes,yes
82,1,yes,yes
83,1,no,no
84,1,no,no
85,1,yes,yes
86,1,yes,yes
87,1,no,no
88,1,no,no
89,1,no,no
90,1,no,no
91,1,yes,yes
92,1,no,no
93,1,yes,yes
94,1,no,no
95,1,yes,yes
96,1,no,no
97,1,no,no
98,1,yes,yes
99,0,no,yes
100,1,no,no
101,1,no,no
102,1,no,no
103,1,yes,yes
104,1,yes,yes
105,1,yes,yes
106,1,no,no
107,1,no,no
108,1,yes,yes
109,1,no,no
110,1,no,no
111,0,no,yes
112,1,yes,yes
113,1,yes,yes
114,1,no,no
115,1,yes,yes
116,0,no,yes
117,1,yes,yes
118,0,no,yes
119,1,no,no
120,1,yes,yes
121,1,yes,yes
122,1,yes,yes
123,1,no,no
124,1,yes,yes
125,1,no,no
126,1,no,no
127,1,yes,yes
128,1,no,no
129,1,no,no
130,1,yes,yes
131,1,no,no
132,1,yes,yes
133,1,yes,yes
134,1,no,no
135,1,yes,yes
136,1,yes,yes
137,1,yes,yes
138,1,yes,yes
139,1,no,no
140,1,yes,yes
141,1,yes,yes
142,1,no,no
143,1,yes,yes
144,0,no,yes
145,1,no,no
146,1,no,no
147,1,no,no
148,0,no,yes
149,1,yes,yes
150,1,yes,yes
151,1,no,no
152,1,yes,yes
153,0,no,yes
154,1,no,no
155,1,no,no
156,1,yes,yes
157,1,yes,yes
158,1,no,no
159,1,yes,yes
160,1,yes,yes
161,0,no,yes
162,1,yes,yes
163,1,no,no
164,1,no,no
165,1,yes,yes
166,1,no,no
167,1,no,no
168,1,yes,yes
169,1,no,no
170,1,no,no
171,1,yes,yes
172,1,yes,yes
173,1,yes,yes
174,1,no,no
175,1,no,no
176,1,yes,yes
177,1,no,no
178,1,no,no
179,1,yes,yes
180,1,no,no
181,1,yes,yes
182,0,no,yes
183,1,yes,yes
184,1,no,no
185,1,yes,yes
186,1,yes,yes
187,1,no,no
188,1,yes,yes
189,1,no,no
190,1,yes,yes
191,1,yes,yes
192,1,no,no
193,1,yes,yes
194,1,no,no
195,1,yes,yes
196,1,yes,yes
197,1,no,no
198,0,yes,no
199,1,no,no
200,1,yes,yes
201,1,yes,yes
202,1,yes,yes
203,1,no,no
204,1,no,no
205,1,no,no
206,1,yes,yes
207,1,no,no
208,1,no,no
209,1,no,no
210,1,no,no
211,1,yes,yes
212,1,yes,yes
213,1,yes,yes
214,1,no,no
215,1,no,no
216,1,yes,yes
217,1,no,no
218,1,no,no
219,1,no,no
220,1,yes,yes
221,1,yes,yes
222,1,no,no
223,1,yes,yes
224,0,no,yes
225,1,yes,yes
226,0,no,yes
227,1,no,no
228,1,yes,yes
229,1,yes,yes
230,1,yes,yes
231,1,no,no
232,1,yes,yes
233,1,no,no
234,1,no,no
235,1,yes,yes
236,0,no,yes
237,1,no,no
238,1,yes,yes
239,1,no,no
240,1,yes,yes
241,1,no,no
242,1,no,no
243,1,yes,yes
244,1,yes,yes
245,1,yes,yes
246,1,yes,yes
247,1,no,no
248,1,yes,yes
249,1,yes,yes
250,1,no,no
251,1,yes,yes
252,1,yes,yes
253,1,no,no
254,0,no,yes
255,1,no,no
256,1,no,no
257,1,yes,yes
258,1,yes,yes
259,1,no,no
260,1,yes,yes
261,0,no,yes
262,1,no,no
263,1,no,no
264,1,yes,yes
265,1,yes,yes
266,1,no,no
267,1,yes,yes
268,1,yes,yes
269,0,no,yes
270,1,yes,yes
271,1,no,no
272,1,no,no
273,1,yes,yes
274,1,no,no
275,1,no,no
276,1,yes,yes
277,1,no,no
278,1,no,no
279,1,yes,yes
280,1,yes,yes
281,1,yes,yes
282,1,no,no
283,1,no,no
284,1,yes,yes
285,1,no,no
286,1,no,no
287,1,yes,yes
288,1,no,no
289,1,yes,yes
290,1,no,no
291,1,yes,yes
292,1,no,no
293,1,yes,yes
294,1,yes,yes
295,1,no,no
296,1,yes,yes
297,1,no,no
298,1,no,no
299,1,yes,yes
300,1,no,no
301,1,yes,yes
302,1,no,no
303,1,yes,yes
304,1,yes,yes
305,1,no,no
306,1,yes,yes
307,0,no,yes
308,1,yes,yes
309,1,yes,yes
310,1,yes,yes
311,1,no,no
312,1,no,no
313,1,no,no
314,1,yes,yes
315,1,no,no
316,1,no,no
317,1,yes,yes
318,1,yes,yes
319,1,yes,yes
320,1,yes,yes
321,1,yes,yes
322,1,no,no
323,1,no,no
324,1,yes,yes
325,1,yes,yes
326,1,no,no
327,0,no,yes
328,1,yes,yes
329,1,yes,yes
330,1,no,no
331,1,yes,yes
332,1,yes,yes
333,1,no,no
334,1,yes,yes
335,1,yes,yes
336,1,yes,yes
337,1,yes,yes
338,1,yes,yes
339,1,no,no
340,1,yes,yes
341,1,no,no
342,1,no,no
343,1,no,no
344,0,yes,no
345,1,yes,yes
346,1,yes,yes
347,1,yes,yes
348,1,yes,yes
349,0,yes,no
350,1,yes,yes
351,1,yes,yes
352,1,yes,yes
353,1,yes,yes
354,0,no,yes
355,1,no,no
356,1,yes,yes
357,1,yes,yes
358,1,no,no
359,1,yes,yes
360,1,yes,yes
361,1,no,no
362,1,yes,yes
363,1,no,no
364,1,yes,yes
365,1,yes,yes
366,1,yes,yes
367,1,yes,yes
368,1,yes,yes
369,0,no,yes
370,1,yes,yes
371,1,no,no
372,1,yes,yes
373,1,yes,yes
374,0,no,yes
375,1,yes,yes
376,1,yes,yes
377,1,yes,yes
378,1,no,no
379,1,yes,yes
380,1,yes,yes
381,1,yes,yes
382,1,no,no
383,1,yes,yes
384,1,yes,yes
385,1,no,no
386,1,yes,yes
387,1,yes,yes
388,1,yes,yes
389,1,no,no
390,1,yes,yes
391,1,no,no
392,1,yes,yes
393,1,no,no
394,1,yes,yes
395,1,yes,yes
396,1,yes,yes
397,1,yes,yes
398,1,yes,yes
399,1,yes,yes
400,1,yes,yes
401,1,yes,yes
402,1,yes,yes
403,1,yes,yes
404,1,yes,yes
405,1,no,no
406,1,yes,yes
407,1,yes,yes
408,1,yes,yes
409,0,no,yes
410,1,no,no
411,0,no,yes
412,1,yes,yes
413,1,yes,yes
414,0,no,yes
415,1,no,no
416,1,no,no
417,1,yes,yes
418,1,yes,yes
419,1,yes,yes
420,1,no,no
421,1,yes,yes
422,0,yes,no
423,0,no,yes
424,1,no,no
425,1,yes,yes
426,1,yes,yes
427,1,yes,yes
428,1,yes,yes
429,1,yes,yes
430,1,no,no
431,1,no,no
432,1,yes,yes
433,1,yes,yes
434,1,no,no
435,0,no,yes
436,1,yes,yes
437,1,yes,yes
438,1,no,no
439,1,yes,yes
440,1,yes,yes
441,1,no,no
442,1,yes,yes
443,1,yes,yes
444,1,yes,yes
445,1,yes,yes
446,1,yes,yes
447,0,no,yes
448,1,yes,yes
449,1,no,no
450,1,no,no
451,1,no,no
452,0,yes,no
453,1,yes,yes
454,1,yes,yes
455,1,yes,yes
456,1,yes,yes
457,0,yes,no
458,1,yes,yes
459,1,yes,yes
460,1,yes,yes
461,1,yes,yes
462,0,no,yes
463,1,no,no
464,1,yes,yes
465,1,yes,yes
466,0,no,yes
467,1,yes,yes
468,1,yes,yes
469,1,no,no
470,1,yes,yes
471,1,no,no
472,1,yes,yes
473,1,yes,yes
474,1,yes,yes
475,1,yes,yes
476,1,yes,yes
477,0,no,yes
478,1,yes,yes
479,1,no,no
480,1,yes,yes
481,1,yes,yes
482,0,no,yes
483,1,yes,yes
484,1,yes,yes
485,1,yes,yes
486,1,no,no
487,1,yes,yes
488,1,yes,yes
489,1,yes,yes
490,1,no,no
491,1,yes,yes
492,1,yes,yes
493,1,no,no
494,1,yes,yes
495,1,yes,yes
496,1,yes,yes
497,1,no,no
498,1,yes,yes
499,1,no,no
500,1,yes,yes
501,1,no,no
502,1,yes,yes
503,1,yes,yes
504,1,yes,yes
505,1,yes,yes
506,1,yes,yes
507,1,yes,yes
508,1,yes,yes
509,1,yes,yes
510,1,yes,yes
511,1,yes,yes
512,1,yes,yes
513,1,no,no
514,1,yes,yes
515,1,yes,yes
516,1,yes,yes
517,0,no,yes
518,1,no,no
519,0,no,yes
520,1,yes,yes
521,1,yes,yes
522,0,no,yes
523,1,no,no
524,1,no,no
525,1,yes,yes
526,1,yes,yes
527,1,yes,yes
528,1,no,no
529,1,yes,yes
530,0,yes,no
531,0,no,yes
532,1,no,no
533,1,no,no
534,1,yes,yes
535,1,yes,yes
536,1,no,no
537,1,yes,yes
538,0,no,yes
539,1,no,no
540,1,yes,yes
541,1,yes,yes
542,1,no,no
543,0,no,yes
544,1,yes,yes
545,1,yes,yes
546,1,no,no
547,1,no,no
548,1,no,no
549,1,no,no
550,1,yes,yes
551,1,yes,yes
552,1,no,no
553,1,yes,yes
554,1,yes,yes
555,1,no,no
556,1,no,no
557,1,no,no
558,1,no,no
559,1,no,no
560,1,no,no
561,1,no,no
