row_idx,correct,ground_truth,predicted
0,1,no,no
1,1,no,no
2,0,no,yes
3,1,no,no
4,1,no,no
5,1,yes,yes
6,1,no,no
7,1,yes,yes
8,0,no,yes
9,0,yes,no
10,0,yes,no
11,1,no,no
12,1,yes,yes
13,1,yes,yes
14,1,no,no
15,1,no,no
16,1,no,no
17,1,yes,yes
18,0,no,yes
19,1,yes,yes
20,0,yes,no
21,1,no,no
22,1,yes,yes
23,1,no,no
24,1,no,no
25,1,yes,yes
26,1,no,no
27,1,no,no
28,1,yes,yes
29,0,no,yes
30,0,yes,no
31,1,yes,yes
32,0,yes,no
33,1,yes,yes
34,1,yes,yes
35,1,no,no
36,1,no,no
37,1,no,no
38,1,no,no
39,1,no,no
40,1,no,no
41,1,no,no
42,1,no,no
43,1,yes,yes
44,1,no,no
45,1,yes,yes
46,1,no,no
47,1,yes,yes
48,0,yes,no
49,1,no,no
50,1,no,no
51,1,no,no
52,1,yes,yes
53,1,no,no
54,1,no,no
55,1,yes,yes
56,1,no,no
57,0,yes,no
58,1,no,no
59,0,yes,no
60,1,yes,yes
61,1,no,no
62,0,yes,no
63,0,yes,no
64,1,no,no
65,1,no,no
66,1,no,no
67,1,yes,yes
68,1,no,no
69,1,yes,yes
70,0,yes,no
71,1,no,no
72,1,yes,yes
73,1,no,no
74,1,yes,yes
75,0,yes,no
76,1,no,no
77,1,no,no
78,1,yes,yes
79,1,no,no
80,0,yes,no
81,1,yes,yes
82,0,yes,no
83,1,yes,yes
84,1,yes,yes
85,1,no,no
86,1,no,no
87,1,no,no
88,1,no,no
89,1,no,no
90,1,no,no
91,1,no,no
92,1,no,no
93,0,yes,no
94,1,no,no
95,1,yes,yes
96,1,no,no
97,1,yes,yes
98,0,yes,no
99,1,no,no
100,1,no,no
101,1,no,no
102,1,yes,yes
103,1,no,no
104,1,no,no
105,1,yes,yes
106,1,no,no
107,0,yes,no
108,1,no,no
109,1,yes,yes
110,0,yes,no
111,1,no,no
112,1,yes,yes
113,0,yes,no
114,1,no,no
115,1,no,no
116,1,no,no
117,1,yes,yes
118,1,no,no
119,0,yes,no
120,0,yes,no
121,1,no,no
122,1,yes,yes
123,1,yes,yes
124,1,no,no
125,1,yes,yes
126,1,no,no
127,1,no,no
128,0,yes,no
129,1,no,no
130,0,yes,no
131,1,yes,yes
132,0,yes,no
133,1,yes,yes
134,1,yes,yes
135,1,no,no
136,1,no,no
137,1,no,no
138,0,no,yes
139,1,no,no
140,1,no,no
141,1,no,no
142,1,no,no
143,1,no,no
144,1,no,no
145,1,yes,yes
146,1,no,no
147,1,yes,yes
148,0,yes,no
149,1,no,no
150,1,no,no
151,1,no,no
152,1,yes,yes
153,1,no,no
154,1,no,no
155,0,no,yes
156,1,no,no
157,0,yes,no
158,0,no,yes
159,0,yes,no
160,1,yes,yes
161,1,no,no
162,1,yes,yes
163,1,yes,yes
164,1,no,no
165,1,no,no
166,1,no,no
167,1,yes,yes
168,1,no,no
169,1,yes,yes
170,1,yes,yes
171,1,no,no
172,1,yes,yes
173,1,no,no
174,0,yes,no
175,1,yes,yes
176,1,no,no
177,1,no,no
178,1,yes,yes
179,1,no,no
180,1,yes,yes
181,1,yes,yes
182,0,yes,no
183,1,yes,yes
184,1,yes,yes
185,1,no,no
186,1,no,no
187,1,no,no
188,1,no,no
189,1,no,no
190,1,no,no
191,1,no,no
192,1,no,no
193,1,yes,yes
194,1,no,no
195,1,yes,yes
196,0,no,yes
197,1,yes,yes
198,0,yes,no
199,1,no,no
200,1,no,no
201,1,no,no
202,1,yes,yes
203,1,no,no
204,1,no,no
205,1,yes,yes
206,1,no,no
207,0,yes,no
208,1,no,no
209,0,yes,no
210,1,yes,yes
211,1,no,no
212,1,yes,yes
213,1,yes,yes
214,1,no,no
215,1,no,no
216,1,no,no
217,1,yes,yes
218,1,no,no
219,0,yes,no
220,1,yes,yes
221,1,no,no
222,1,yes,yes
223,0,yes,no
224,1,no,no
225,1,yes,yes
226,1,no,no
227,1,no,no
228,1,yes,yes
229,0,no,yes
230,1,yes,yes
231,1,yes,yes
232,0,yes,no
233,1,yes,yes
234,1,yes,yes
235,1,no,no
236,1,no,no
237,1,no,no
238,1,no,no
239,1,no,no
240,1,no,no
241,1,no,no
242,1,no,no
243,1,no,no
244,1,no,no
245,1,yes,yes
246,0,no,yes
247,1,yes,yes
248,0,yes,no
249,0,no,yes
250,0,no,yes
251,1,yes,yes
252,0,no,yes
253,1,yes,yes
254,1,no,no
255,0,no,yes
256,1,yes,yes
257,1,yes,yes
258,1,yes,yes
259,0,yes,no
260,0,yes,no
261,1,yes,yes
262,0,no,yes
263,0,yes,no
264,1,yes,yes
265,1,yes,yes
266,1,yes,yes
267,1,no,no
268,0,no,yes
269,0,no,yes
270,1,no,no
271,0,yes,no
272,1,yes,yes
273,1,yes,yes
274,1,yes,yes
275,1,no,no
276,1,no,no
277,1,yes,yes
278,0,no,yes
279,1,yes,yes
280,0,no,yes
281,1,no,no
282,0,yes,no
283,1,yes,yes
284,0,yes,no
285,1,yes,yes
286,1,yes,yes
287,1,yes,yes
288,1,yes,yes
289,1,no,no
290,1,no,no
291,1,yes,yes
292,1,yes,yes
293,0,no,yes
294,1,yes,yes
295,1,yes,yes
296,0,no,yes
297,0,no,yes
298,1,no,no
299,0,no,yes
300,0,no,yes
301,1,yes,yes
302,1,no,no
303,0,yes,no
304,1,no,no
305,1,no,no
306,1,yes,yes
307,1,yes,yes
308,1,yes,yes
309,0,yes,no
310,0,yes,no
311,1,yes,yes
312,0,no,yes
313,0,yes,no
314,1,yes,yes
315,1,yes,yes
316,1,yes,yes
317,0,no,yes
318,0,no,yes
319,0,no,yes
320,1,no,no
321,0,yes,no
322,1,yes,yes
323,1,yes,yes
324,1,yes,yes
325,1,no,no
326,1,no,no
327,1,yes,yes
328,0,no,yes
329,1,yes,yes
330,1,no,no
331,0,no,yes
332,0,yes,no
333,1,yes,yes
334,0,yes,no
335,1,yes,yes
336,1,yes,yes
337,1,yes,yes
338,1,yes,yes
339,1,no,no
340,1,no,no
341,1,yes,yes
342,0,yes,no
343,1,no,no
344,1,yes,yes
345,1,yes,yes
346,0,no,yes
347,0,no,yes
348,1,no,no
349,0,no,yes
350,0,no,yes
351,1,yes,yes
352,0,no,yes
353,1,yes,yes
354,0,no,yes
355,1,no,no
356,1,yes,yes
357,0,yes,no
358,1,yes,yes
359,1,yes,yes
360,0,yes,no
361,1,yes,yes
362,0,no,yes
363,0,yes,no
364,1,yes,yes
365,1,yes,yes
366,1,yes,yes
367,0,no,yes
368,0,no,yes
369,0,no,yes
370,1,no,no
371,0,yes,no
372,1,yes,yes
373,1,yes,yes
374,1,yes,yes
375,1,no,no
376,1,no,no
377,1,yes,yes
378,0,no,yes
379,1,yes,yes
380,1,no,no
381,1,no,no
382,0,yes,no
383,1,yes,yes
384,0,yes,no
385,1,yes,yes
386,1,yes,yes
387,1,yes,yes
388,1,yes,yes
389,1,no,no
390,1,no,no
391,1,yes,yes
392,1,yes,yes
393,0,no,yes
394,1,yes,yes
395,1,yes,yes
396,0,no,yes
397,0,no,yes
398,1,no,no
399,0,no,yes
400,0,no,yes
401,0,yes,no
402,0,no,yes
403,1,yes,yes
404,0,no,yes
405,1,no,no
406,1,no,no
407,1,yes,yes
408,1,yes,yes
409,0,yes,no
410,1,yes,yes
411,1,yes,yes
412,0,no,yes
413,1,yes,yes
414,1,yes,yes
415,1,yes,yes
416,1,yes,yes
417,0,no,yes
418,0,no,yes
419,0,no,yes
420,1,no,no
421,0,yes,no
422,1,yes,yes
423,1,yes,yes
424,0,yes,no
425,1,no,no
426,1,no,no
427,1,yes,yes
428,0,no,yes
429,1,yes,yes
430,0,no,yes
431,1,no,no
432,0,yes,no
433,1,yes,yes
434,0,yes,no
435,1,yes,yes
436,1,yes,yes
437,1,yes,yes
438,1,yes,yes
439,1,no,no
440,0,no,yes
441,1,yes,yes
442,1,yes,yes
443,0,no,yes
444,1,yes,yes
445,1,yes,yes
446,0,no,yes
447,0,no,yes
448,1,no,no
449,0,no,yes
450,1,no,no
451,1,yes,yes
452,0,no,yes
453,1,yes,yes
454,0,no,yes
455,1,no,no
456,1,no,no
457,0,yes,no
458,1,yes,yes
459,1,yes,yes
460,1,yes,yes
461,1,yes,yes
462,0,no,yes
463,1,yes,yes
464,1,yes,yes
465,1,yes,yes
466,1,yes,yes
467,1,no,no
468,0,no,yes
469,0,no,yes
470,1,no,no
471,0,yes,no
472,1,yes,yes
473,1,yes,yes
474,0,yes,no
475,1,no,no
476,1,no,no
477,1,yes,yes
478,0,no,yes
479,1,yes,yes
480,0,no,yes
481,1,no,no
482,1,yes,yes
483,1,yes,yes
484,0,yes,no
485,1,yes,yes
486,1,yes,yes
487,1,yes,yes
488,1,yes,yes
489,1,no,no
490,0,no,yes
491,1,yes,yes
492,1,yes,yes
493,0,no,yes
494,0,yes,no
495,1,yes,yes
496,0,no,yes
497,0,no,yes
498,1,no,no
499,0,no,yes
500,1,no,no
501,0,no,yes
502,1,no,no
503,1,no,no
504,1,yes,yes
505,1,no,no
506,1,no,no
507,0,yes,no
508,0,yes,no
509,0,yes,no
510,1,yes,yes
511,0,yes,no
512,0,yes,no
513,1,no,no
514,1,yes,yes
515,0,yes,no
516,1,no,no
517,1,no,no
518,1,no,no
519,0,no,yes
520,1,no,no
521,1,yes,yes
522,0,yes,no
523,1,no,no
524,1,yes,yes
525,1,no,no
526,1,no,no
527,1,no,no
528,1,no,no
529,1,no,no
530,1,yes,yes
531,1,no,no
532,1,no,no
533,1,no,no
534,1,no,no
535,0,no,yes
536,1,no,no
537,0,yes,no
538,1,no,no
539,0,yes,no
540,0,yes,no
541,0,yes,no
542,0,yes,no
543,1,no,no
544,1,no,no
545,1,no,no
546,1,yes,yes
547,0,yes,no
548,1,yes,yes
549,1,no,no
