word,freq,acc_qwen,acc_internvl
object,4179,0.6202440775305097,0.6465661641541038
what,2983,0.7700301709688233,0.7740529668119343
scene,2758,0.8560551124002901,0.8498912255257433
sphere,2533,0.4567706277141729,0.541255428345835
cylinder,2494,0.4623095429029671,0.5316760224538893
collide,2261,0.5594869526758072,0.6090225563909775
cube,2164,0.4320702402957486,0.5134011090573013
if,2149,0.2536063285248953,0.38343415542112613
multiple,2149,0.2536063285248953,0.38343415542112613
separate,2149,0.2536063285248953,0.38343415542112613
how,2000,0.8745,0.811
many,2000,0.8745,0.811
when,1989,0.8607340372046255,0.8355957767722474
metal,1865,0.5018766756032171,0.5592493297587131
rubber,1848,0.5032467532467533,0.5622294372294372
objects,1677,0.8640429338103757,0.8240906380441264
which,1664,0.26622596153846156,0.3641826923076923
enters,1658,0.9143546441495778,0.8980699638118215
happen,1619,0.3743051266213712,0.509573810994441
moving,1306,0.8660030627871363,0.7381316998468607
green,1176,0.45663265306122447,0.5297619047619048
purple,1170,0.452991452991453,0.5230769230769231
blue,1126,0.46714031971580816,0.5506216696269982
collides,1120,0.22767857142857142,0.3991071428571429
red,1118,0.4597495527728086,0.5456171735241503
gray,1085,0.4608294930875576,0.5364055299539171
cyan,1082,0.466728280961183,0.5268022181146026
brown,1059,0.47592067988668557,0.5439093484419264
yellow,1046,0.4713193116634799,0.5315487571701721
presence,827,0.26964933494558646,0.32406287787182586
